2026/05/08 17:14:04 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_155439_job74134_d24w3yak/summary.json: Copied (new)
2026/05/08 17:14:05 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_155439_job74134_d24w3yak/manifest.json: Copied (new)
2026/05/08 17:14:05 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_123453_job74133_kzz71nh_/total_return_hist.png: Copied (new)
2026/05/08 17:14:26 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_155439_job74134_d24w3yak/total_return_hist.png: Copied (new)
2026/05/08 17:14:26 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_015729_job74139_46bfn538/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:27 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_015729_job74139_46bfn538/manifest.json: Copied (new)
2026/05/08 17:14:27 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_015729_job74139_46bfn538/summary.json: Copied (new)
2026/05/08 17:14:27 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_155439_job74134_d24w3yak/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:27 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_135115_job74143_q08j1hi1/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:28 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_135115_job74143_q08j1hi1/manifest.json: Copied (new)
2026/05/08 17:14:28 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_135115_job74143_q08j1hi1/summary.json: Copied (new)
2026/05/08 17:14:28 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_015729_job74139_46bfn538/total_return_hist.png: Copied (new)
2026/05/08 17:14:28 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_135115_job74143_q08j1hi1/total_return_hist.png: Copied (new)
2026/05/08 17:14:30 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_195251_job74137_dvcd7s8x/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:31 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_195251_job74137_dvcd7s8x/manifest.json: Copied (new)
2026/05/08 17:14:31 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_195251_job74137_dvcd7s8x/summary.json: Copied (new)
2026/05/08 17:14:31 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_195251_job74137_dvcd7s8x/total_return_hist.png: Copied (new)
2026/05/08 17:14:42 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_165222_job74136_gkc4fhnc/manifest.json: Copied (new)
2026/05/08 17:14:42 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_165222_job74136_gkc4fhnc/summary.json: Copied (new)
2026/05/08 17:14:42 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_165222_job74136_gkc4fhnc/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:43 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_165222_job74136_gkc4fhnc/total_return_hist.png: Copied (new)
